Key;Title;Description;Status
2000SJ00;2000/'01;;Definitief
2001SJ00;2001/'02;;Definitief
2002SJ00;2002/'03;;Definitief
2003SJ00;2003/'04;;Definitief
2004SJ00;2004/'05;;Definitief
2005SJ00;2005/'06;;Definitief
2006SJ00;2006/'07;;Definitief
2007SJ00;2007/'08;;Definitief
2008SJ00;2008/'09;;Definitief
2009SJ00;2009/'10;;Definitief
2010SJ00;2010/'11;;Definitief
2011SJ00;2011/'12;;Definitief
2012SJ00;2012/'13;;Definitief
2013SJ00;2013/'14;;Definitief
2014SJ00;2014/'15;;Definitief
2015SJ00;2015/'16;;Definitief
2016SJ00;2016/'17;;Definitief
2017SJ00;2017/'18;;Definitief
2018SJ00;2018/'19;;Definitief
2019SJ00;2019/'20;Voorlopige cijfers;Voorlopig
